Number of Cities,Total Length,Time (s)
14,544.1581954292735,0.0
14,401.00721561489706,0.0
14,477.8711430853252,0.0
14,439.84918239378453,0.0
14,389.6014698645729,0.0
14,344.84789969932757,0.0
14,338.81091669106377,0.0
14,428.42227946911,0.0
14,355.0285108271189,0.0
14,475.21920012789417,0.0
14,467.4761509896381,0.0
14,438.5933528110397,0.0
14,385.93362640566613,0.0
14,362.78938664995997,0.0
14,481.80127554551234,0.0
14,464.73476159636385,0.0
14,240.02519462522338,0.0
14,431.98089051272905,0.0
14,347.594242331223,0.0
14,352.72345069230744,0.0
14,336.25978208874665,0.0
14,338.6166710402871,0.0
14,395.927492302299,0.0
14,308.5714832322253,0.0
14,363.47379552675176,0.0
14,364.96496991472594,0.0
14,365.47829597026123,0.0
14,313.05037930315996,0.0
14,338.3532867441412,0.0
14,383.6803418004296,0.0
14,376.6883963988929,0.0
14,316.9377695232444,0.0
14,378.4851118419638,0.0
14,350.71321113646815,0.0
14,328.23459048550035,0.0
14,393.49475682764853,0.0
14,432.98889621474996,0.0
14,481.1782154506093,0.0
14,411.06130092015997,0.0
14,368.1039516123749,0.0
14,396.13601564096325,0.0
14,295.6673631665973,0.0
14,298.0381272547046,0.0
14,336.5769429699934,0.0
14,363.68137162830516,0.0
15,439.2023002583662,0.0
15,299.0944497685024,0.0
15,532.5849145253549,0.0
15,392.8994337036772,0.0
15,360.806896723727,0.0
15,326.5559901229674,0.0
15,469.90031553876054,0.0
15,365.7674780065348,0.0
15,377.3670717760651,0.0
15,326.850323063022,0.0
15,416.22642806353844,0.0
15,387.9292452524346,0.0
15,349.2921934499939,0.0
15,350.3437450668578,0.0
15,436.96295441404806,0.0
15,360.3049279934032,0.0
15,398.8470526094888,0.0
15,401.13660936505977,0.0
15,493.737951181066,0.0
15,437.5350351464076,0.0
15,293.4452466415635,0.0
15,470.8182923817387,0.0
15,433.59652895105626,0.0
15,327.7526875835589,0.0
15,448.60130301653624,0.0
15,474.2046483215977,0.0
15,416.58957751626355,0.0
15,332.286444216972,0.0
15,418.99458227079924,0.0
15,443.42594818280736,0.0
15,325.8721345451323,0.008026361465454102
15,405.73851473760413,0.0
15,429.2643511567222,0.0
15,333.79844338187115,0.0
15,366.58597017218864,0.0
15,511.16850307521713,0.0
15,376.7867925088294,0.0
15,337.78746375303575,0.0
15,434.5542341294718,0.0
15,376.65414905175413,0.0
15,373.014446754525,0.0
15,417.1442097959798,0.0
15,405.37139921195325,0.0
15,355.47769801323705,0.0
15,263.82337465194837,0.0
15,365.7170799694395,0.0
15,392.8610232362744,0.0
15,414.2036176723067,0.0
15,363.5637030539205,0.0
15,428.26372723814427,0.0
15,399.37987008971726,0.0
15,383.5247000345738,0.0
15,368.0623739960405,0.0
15,434.8807242488078,0.0
15,437.3095493460964,0.0
15,399.32242539058785,0.0
15,311.7172700190547,0.0
15,415.8292107750136,0.0
15,376.00515403939346,0.0
15,429.99879450018716,0.0
15,398.92301790004694,0.0
15,419.49315127586976,0.0
15,342.7428527276794,0.0
15,330.51058069305134,0.0
15,416.18713566563804,0.0
15,328.24335656325553,0.0
15,312.08573991551634,0.0
15,422.5887158318346,0.0
15,324.5724778571084,0.0
15,402.8055021202392,0.0
15,409.05512121870333,0.0
15,441.5183475452201,0.0
15,297.6559647070105,0.0
15,400.36823020468796,0.0
15,409.7433243190408,0.0
15,414.3363467566694,0.0
15,367.36294354752533,0.0
15,464.26865176727676,0.0
15,358.14405862134885,0.0
15,421.3804379901509,0.0
15,373.40127609783053,0.0
15,411.1396043631186,0.0
15,332.79351173703935,0.0
15,402.89870922192915,0.0
15,383.80708744865603,0.0
15,310.50205687861745,0.0
15,342.21485338213193,0.0
15,338.6168229749933,0.0
15,477.6750370998766,0.0
15,344.67534491025066,0.0
15,435.22405858472484,0.0
15,381.45497240400715,0.0
15,490.9882281072889,0.0
15,393.2190312269619,0.0
15,422.42702387362726,0.0
15,382.08182945253066,0.0
15,414.30042500061336,0.0
15,381.65871938364273,0.0
15,361.8178369745509,0.0
15,404.18469953989353,0.0
16,503.38960789591516,0.0
16,406.71661515592905,0.0
16,391.42223745517504,0.0
16,386.4810289451103,0.0
16,388.55962542234295,0.0
16,348.7022509144173,0.0
16,338.2142494857753,0.0
16,363.4031521573741,0.0
16,349.1303821414947,0.0
16,410.89837096718463,0.0
16,366.8552405120524,0.0
16,333.30892910981305,0.0
16,402.2973008003156,0.0
16,451.05533418655324,0.0
16,464.4138354887313,0.0
16,442.7075919728188,0.0
16,462.78440038300283,0.0
16,410.6544322149789,0.0
16,409.51363362853243,0.0
